target_id,enemy_id,priority_class,priority_score,first_watch_rule,pressure_rule,do_not_chase_rule,swap_condition,reason
Soldier76,D.Va,pressure_only,5.7,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,D.Vaは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Winston,pressure_only,5.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ウィンストンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Doomfist,pressure_only,6.1,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ドゥームフィストは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Hazard,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ハザードは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Wrecking Ball,pressure_only,5.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,レッキング・ボールは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Zarya,pressure_only,4.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ザリアは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Junker Queen,pressure_only,4.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ジャンカー・クイーンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Domina,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ドミナは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Mauga,pressure_only,4.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,マウガは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Ramattra,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ラマットラは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Roadhog,pressure_only,4.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ロードホッグは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Orisa,pressure_only,4.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,オリーサは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Sigma,pressure_only,4.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,シグマは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Reinhardt,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ラインハルトは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Ashe,pressure_only,6.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,アッシュは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Widowmaker,focus_first,6.8,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ウィドウメイカーは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,Emre,pressure_only,6.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,エムレは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Cassidy,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,キャスディは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Sojourn,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソジョーンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Soldier: 76,pressure_only,6.1,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソルジャー76は倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Hanzo,focus_first,6.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ハンゾーは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,Freja,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,フレイヤは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,Anran,punish_late,5.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,アンランは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,Genji,focus_first,7.8,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ゲンジは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,Shion,punish_late,7.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,シオンは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,Sombra,punish_late,6.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソンブラは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,Tracer,pressure_only,5.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,トレーサーは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
