hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
D.Va,3.7,"[""dive_threat"", ""aerial_pressure"", ""heavy_frontline""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""自爆"", ""ディフェンス・マトリックス""]",D.Vaにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。ディフェンス・マトリックス・ブースターが残る間は壁裏へ戻る準備を持つ。,優先度は、ブースターの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Winston,5.0,"[""dive_threat"", ""heavy_frontline""]","[""テスラ・キャノン"", ""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""テスラ・キャノン"", ""バリア・プロジェクター""]",ウィンストンにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。テスラ・キャノン・バリア・プロジェクターが残る間は壁裏へ戻る準備を持つ。,優先度は、ジャンプ・パックの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Doomfist,4.8,"[""dive_threat"", ""heavy_frontline""]","[""ロケット・パンチ"", ""パワー・ブロック"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""パワー・ブロック""]",ドゥームフィストにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。ロケット・パンチ・パワー・ブロックが残る間は壁裏へ戻る準備を持つ。,優先度は、サイズミック・スラム・ロケット・パンチの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Hazard,5.2,"[""dive_threat"", ""heavy_frontline""]","[""ジャギー・ウォール"", ""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ジャギー・ウォール"", ""スパイク・ガード""]",ハザードにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。ジャギー・ウォール・スパイク・ガードが残る間は壁裏へ戻る準備を持つ。,優先度は、ヴァイオレント・リープの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Wrecking Ball,4.5,"[""dive_threat"", ""heavy_frontline"", ""flank_threat""]","[""パイルドライバー"", ""アダプティブ・シールド"", ""グラップリング・クロー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""パイルドライバー"", ""アダプティブ・シールド""]",レッキング・ボールにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。パイルドライバー・アダプティブ・シールドが残る間は壁裏へ戻る準備を持つ。,優先度は、グラップリング・クロールの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Zarya,6.5,"[""heavy_frontline"", ""save_sustain""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""バリア・ショット""]","[""グラビトン・サージ"", ""バリア・ショット"", ""パーティクル・バリア""]",ザリアにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。グラビトン・サージ・パーティクル・バリアが残る間は壁裏へ戻る準備を持つ。,優先度は、パーティクル・バリア・ショットの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Junker Queen,6.0,"[""heavy_frontline"", ""save_sustain""]","[""ランペイジ"", ""コマンディング・シャウト"", ""ギザギザブレード""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]","[""ランペイジ"", ""コマンディング・シャウト""]",ジャンカー・クイーンにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。ランペイジ・コマンディング・シャウトが残る間は壁裏へ戻る準備を持つ。,優先度は、ギザギザブレード・カーネイジの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Domina,6.4,"[""heavy_frontline"", ""save_sustain""]","[""パノプティコン"", ""バリア・アレイ"", ""クリスタル・チャージ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""パノプティコン"", ""バリア・アレイ""]",ドミナにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。パノプティコン・バリア・アレイが残る間は壁裏へ戻る準備を持つ。,優先度は、クリスタル・チャージ・ソニック・リパルサーの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Mauga,7.0,"[""heavy_frontline"", ""save_sustain""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]",マウガにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。ケージ・ファイト・カーディアック・オーバードライブが残る間は壁裏へ戻る準備を持つ。,優先度は、オーバーラン・カーディアック・オーバードライブの後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
Ramattra,6.8,"[""heavy_frontline"", ""save_sustain""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]",ラマットラにはフライトで長く追わず、スティッキー・ボム命中後だけフォーカス・ビームへ進む。アナイアレーション・ヴォイド・バリアが残る間は壁裏へ戻る準備を持つ。,優先度は、ネメシス・フォーム・貪欲な渦の後か体力半分以下を作れた時に上げる。倒し切れないならコピー候補として情報を残す。
