target_id,enemy_id,matchup_rating,verdict,advantage_reason,disadvantage_reason,win_condition,loss_condition,play_priority,confidence
Soldier76,D.Va,2.9,不利,ソルジャー76にも勝ち筋はあるが、D.Vaが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、D.Vaの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、D.Vaを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、D.Vaを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,Winston,2.4,不利,ソルジャー76にも勝ち筋はあるが、ウィンストンが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ウィンストンの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ウィンストンを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ウィンストンを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,Doomfist,2.8,不利,ソルジャー76にも勝ち筋はあるが、ドゥームフィストが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ドゥームフィストの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ドゥームフィストを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ドゥームフィストを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,Hazard,3.5,やや不利,ソルジャー76にも勝ち筋はあるが、ハザードが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、ハザードの接近と離脱、高耐久と正面圧がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、ハザードを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ハザードを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,Wrecking Ball,3.0,やや不利,ソルジャー76にも勝ち筋はあるが、レッキング・ボールが得意な射線や接近を許すと主導権を取られやすい。安定した継続火力は長く見せず、味方の圧や敵スキル後に限定して使う。,不利になりやすい理由は、レッキング・ボールの高さの差、接近と離脱がソルジャー76の瞬間接近と長射線の圧に刺さるため。正面から同じ射線で続けるほど、相手の得意形になる。,勝ち方は、レッキング・ボールを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、レッキング・ボールを一人で追い、スプリントや退路を失った状態で反撃を受けること。,ダイブ経路と帰り道を止める,high
Soldier76,Zarya,4.6,五分,ソルジャー76は中距離で1回のピークすれば、ザリアに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ザリアの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ザリアを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ザリアだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,Junker Queen,5.0,五分,ソルジャー76は中距離で1回のピークすれば、ジャンカー・クイーンに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ジャンカー・クイーンの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ジャンカー・クイーンを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ジャンカー・クイーンだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,Domina,5.0,五分,ソルジャー76は中距離で1回のピークすれば、ドミナに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ドミナの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ドミナを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ドミナだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,Mauga,5.5,五分,ソルジャー76は中距離で1回のピークすれば、マウガに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,マウガの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、マウガを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、マウガだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
Soldier76,Ramattra,4.8,五分,ソルジャー76は中距離で1回のピークすれば、ラマットラに一方的な圧を受けにくい。先に倒すより、安定した継続火力でスキルを使わせて次の射線へ移る形が安定する。,ラマットラの高耐久と正面圧を先に受けると五分以下になる。スプリントを攻めの先使いにせず、撃つ位置と戻る位置を分ける。,勝ち方は、ラマットラを削って防御スキルを使わせ、撃破圏内のダメージかサポートへ射線を切り替えること。,負け筋は、ラマットラだけを撃ち続けて敵サポートを自由にし、こちらの強いタイミングを消すこと。,削って後衛へ切り替える,high
