target_id,enemy_id,enemy_archetype,specific_focus,unique_cue,avoid_repeat_note,composition_summary_token,depth_archetype
Soldier76,D.Va,ダイブ経路と帰り道で勝負する機動敵,D.Vaのダイブ経路ではなく帰り道に照準を置き、ヘリックス・ロケットを硬直後へ残す。,D.Vaがダイブした直後より、離脱方向が決まった瞬間を狙う。,D.Vaへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→D.Va:ダイブ経路と帰り道で勝負する機動敵,接近時のダイブ経路と帰り道を管理するタンク
Soldier76,Winston,ダイブ経路と帰り道で勝負する機動敵,ウィンストンのダイブ経路ではなく帰り道に照準を置き、ヘリックス・ロケットを硬直後へ残す。,ウィンストンがダイブした直後より、離脱方向が決まった瞬間を狙う。,ウィンストンへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ウィンストン:ダイブ経路と帰り道で勝負する機動敵,接近時のダイブ経路と帰り道を管理するタンク
Soldier76,Doomfist,ダイブ経路と帰り道で勝負する機動敵,ドゥームフィストのダイブ経路ではなく帰り道に照準を置き、ヘリックス・ロケットを硬直後へ残す。,ドゥームフィストがダイブした直後より、離脱方向が決まった瞬間を狙う。,ドゥームフィストへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ドゥームフィスト:ダイブ経路と帰り道で勝負する機動敵,接近時のダイブ経路と帰り道を管理するタンク
Soldier76,Hazard,ダイブ経路と帰り道で勝負する機動敵,ハザードのダイブ経路ではなく帰り道に照準を置き、ヘリックス・ロケットを硬直後へ残す。,ハザードがダイブした直後より、離脱方向が決まった瞬間を狙う。,ハザードへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ハザード:ダイブ経路と帰り道で勝負する機動敵,接近時のダイブ経路と帰り道を管理するタンク
Soldier76,Wrecking Ball,ダイブ経路と帰り道で勝負する機動敵,レッキング・ボールのダイブ経路ではなく帰り道に照準を置き、ヘリックス・ロケットを硬直後へ残す。,レッキング・ボールがダイブした直後より、離脱方向が決まった瞬間を狙う。,レッキング・ボールへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→レッキング・ボール:ダイブ経路と帰り道で勝負する機動敵,接近時のダイブ経路と帰り道を管理するタンク
Soldier76,Zarya,正面時間を長くする高耐久敵,ザリアを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ザリアが防御を使った直後は、背後のダメージかサポートへ切り替える。,ザリアへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ザリア:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Junker Queen,正面時間を長くする高耐久敵,ジャンカー・クイーンを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ジャンカー・クイーンが防御を使った直後は、背後のダメージかサポートへ切り替える。,ジャンカー・クイーンへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ジャンカー・クイーン:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Domina,正面時間を長くする高耐久敵,ドミナを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ドミナが防御を使った直後は、背後のダメージかサポートへ切り替える。,ドミナへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ドミナ:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Mauga,正面時間を長くする高耐久敵,マウガを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,マウガが防御を使った直後は、背後のダメージかサポートへ切り替える。,マウガへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→マウガ:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Ramattra,正面時間を長くする高耐久敵,ラマットラを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ラマットラが防御を使った直後は、背後のダメージかサポートへ切り替える。,ラマットラへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ラマットラ:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Roadhog,正面時間を長くする高耐久敵,ロードホッグを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ロードホッグが防御を使った直後は、背後のダメージかサポートへ切り替える。,ロードホッグへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ロードホッグ:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Orisa,正面時間を長くする高耐久敵,オリーサを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,オリーサが防御を使った直後は、背後のダメージかサポートへ切り替える。,オリーサへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→オリーサ:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Sigma,長射線で先に体力差を作る敵,シグマの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,シグマの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,シグマへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→シグマ:長射線で先に体力差を作る敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Reinhardt,正面時間を長くする高耐久敵,ラインハルトを倒し切る前提にせず、防御スキルを吐かせて後衛へ照準を切り替える。,ラインハルトが防御を使った直後は、背後のダメージかサポートへ切り替える。,ラインハルトへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ラインハルト:正面時間を長くする高耐久敵,高耐久の前線スキルを削って後衛へ切り替えるタンク
Soldier76,Ashe,長射線で先に体力差を作る敵,アッシュの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,アッシュの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,アッシュへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→アッシュ:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
Soldier76,Widowmaker,長射線で先に体力差を作る敵,ウィドウメイカーの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,ウィドウメイカーの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,ウィドウメイカーへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ウィドウメイカー:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
Soldier76,Emre,長射線で先に体力差を作る敵,エムレの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,エムレの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,エムレへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→エムレ:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
Soldier76,Cassidy,長射線で先に体力差を作る敵,キャスディの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,キャスディの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,キャスディへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→キャスディ:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
Soldier76,Sojourn,長射線で先に体力差を作る敵,ソジョーンの正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,ソジョーンの照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,ソジョーンへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ソジョーン:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
Soldier76,Soldier: 76,長射線で先に体力差を作る敵,ソルジャー76の正面射線を避け、味方が視線を引いた瞬間に中距離継続火力を差し込む。,ソルジャー76の照準が味方へ向いた一拍だけ撃ち、同じ射線へ戻らない。,ソルジャー76への説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ソルジャー76→ソルジャー76:長射線で先に体力差を作る敵,長射線で先に体力差を作る敵
