cue,forbidden,gameplan,hero_id,hero_ja,highground,main,matchup_rating,matchup_type,move,practice,rank,role,sub_role,sustain,targets,ultimate
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",D.Vaには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,D.Va,D.Va,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,イニシエーター,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""D.Va""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ウィンストンには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Winston,ウィンストン,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,イニシエーター,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ウィンストン""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ドゥームフィストには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Doomfist,ドゥームフィスト,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,イニシエーター,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ドゥームフィスト""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ハザードには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Hazard,ハザード,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ストールワート,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ハザード""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",レッキング・ボールには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Wrecking Ball,レッキング・ボール,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,イニシエーター,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""レッキング・ボール""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ザリアには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Zarya,ザリア,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ブルーザー,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ザリア""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ジャンカー・クイーンには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Junker Queen,ジャンカー・クイーン,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ストールワート,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ジャンカー・クイーン""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ドミナには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Domina,ドミナ,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ストールワート,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ドミナ""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",マウガには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Mauga,マウガ,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ブルーザー,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""マウガ""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
敵の移動後、防御後、救助後にだけ深く追う。,"[""敵5人を1人ずつの対面として読まない。"", ""同じ角度で撃ち続けない。"", ""防御・救助確認前に決め技を使わない。""]",ラマットラには正面の撃ち合いではなく、入口・曲がり角・退路へフラグ・ランチャーを撃ち込み、スティール・トラップで通る理由がある場所をふさぐ。,Ramattra,ラマットラ,高台は居座る場所ではなく、撃った後に隠れられる退路込みで使う。,フラグ・ランチャーは敵本体だけでなく、足元・遮蔽横・階段・着地先へ撃ち込んで移動を制限する。,5,構成シナジー対応,コンカッション・マインは撃破用と離脱用を分ける。前へ出るなら戻る遮蔽を先に決める。,入口、退路、着地、遮蔽、救助、支援役を毎回確認する。,{},タンク,ストールワート,スティール・トラップは撃ち合いを長引かせるためではなく、次の遮蔽へ戻るために使う。,"[""支援役"", ""孤立したダメージ"", ""ラマットラ""]",RIPタイヤは救助・無敵・スタンを確認し、支援役か逃げ道の少ない敵へ通す。
