target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,depth_archetype,first_check,commit_window,reset_rule,practice_question,depth_summary,duplication_guardrail,source_cue,depth_version
Soldier76,ソルジャー76,D.Va,D.Va,タンク,イニシエーター,接近時のダイブ経路と帰り道を管理するタンク,D.Vaのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,D.Vaが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。,削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。,試合後に「D.Vaの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対D.Vaは、接近時のダイブ経路と帰り道を管理するタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,D.Vaへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,D.Vaのディフェンス・マトリックス、ブースターを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,イニシエーター,接近時のダイブ経路と帰り道を管理するタンク,ウィンストンのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,ウィンストンが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。,削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。,試合後に「ウィンストンの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ウィンストンは、接近時のダイブ経路と帰り道を管理するタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ウィンストンへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ウィンストンのバリア・プロジェクター、ジャンプ・パック、テスラ・キャノンを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,イニシエーター,接近時のダイブ経路と帰り道を管理するタンク,ドゥームフィストのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,ドゥームフィストが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。,削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。,試合後に「ドゥームフィストの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ドゥームフィストは、接近時のダイブ経路と帰り道を管理するタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ドゥームフィストへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ドゥームフィストのパワー・ブロック、サイズミック・スラム、ロケット・パンチを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Hazard,ハザード,タンク,ストールワート,接近時のダイブ経路と帰り道を管理するタンク,ハザードのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,ハザードが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。,削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。,試合後に「ハザードの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ハザードは、接近時のダイブ経路と帰り道を管理するタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ハザードへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ハザードのスパイク・ガード、ヴァイオレント・リープ、ジャギー・ウォールを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,接近時のダイブ経路と帰り道を管理するタンク,レッキング・ボールのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,レッキング・ボールが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。,削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。,試合後に「レッキング・ボールの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対レッキング・ボールは、接近時のダイブ経路と帰り道を管理するタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,レッキング・ボールへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,レッキング・ボールのアダプティブ・シールド、グラップリング・クロー、ロールを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Zarya,ザリア,タンク,ブルーザー,高耐久資源を削って後衛へ切り替えるタンク,ザリアだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,ザリアが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。,正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。,試合後に「ザリアの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ザリアは、高耐久資源を削って後衛へ切り替えるタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ザリアへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ザリアのパーティクル・バリア、バリア・ショット、グラビトン・サージを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,高耐久資源を削って後衛へ切り替えるタンク,ジャンカー・クイーンだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,ジャンカー・クイーンが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。,正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。,試合後に「ジャンカー・クイーンの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ジャンカー・クイーンは、高耐久資源を削って後衛へ切り替えるタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ジャンカー・クイーンへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ジャンカー・クイーンのコマンディング・シャウト、ギザギザブレード、カーネイジを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Domina,ドミナ,タンク,ストールワート,高耐久資源を削って後衛へ切り替えるタンク,ドミナだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,ドミナが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。,正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。,試合後に「ドミナの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ドミナは、高耐久資源を削って後衛へ切り替えるタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ドミナへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ドミナのバリア・アレイ、クリスタル・チャージ、ソニック・リパルサーを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Mauga,マウガ,タンク,ブルーザー,高耐久資源を削って後衛へ切り替えるタンク,マウガだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,マウガが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。,正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。,試合後に「マウガの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対マウガは、高耐久資源を削って後衛へ切り替えるタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,マウガへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,マウガのカーディアック・オーバードライブ、オーバーラン、ケージ・ファイトを見た直後。見ていない時は遮蔽を優先する。,v50.17
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,ストールワート,高耐久資源を削って後衛へ切り替えるタンク,ラマットラだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,ラマットラが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。,正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。,試合後に「ラマットラの何を見てから撃ったか」「外した時にどこへ戻ったか」を1回だけ確認する。,ソルジャー76対ラマットラは、高耐久資源を削って後衛へ切り替えるタンクとして読む。最初に見る情報、撃つ瞬間、失敗時の戻り先を分けると、数値評価以上に安定する。,ラマットラへの説明は「撃つ」「追う」だけで終わらせない。ダイブ確認、倒し切りを狙う条件、撤退先、次の狙いを必ず1文ずつ分け、ソルジャー76のメイン射撃とヘリックス・ロケットとスプリントの使い道を混同しない。,ラマットラのヴォイド・バリア、ブロック、ネメシス・フォームを見た直後。見ていない時は遮蔽を優先する。,v50.17
