target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,review_pattern,wave_goal,review_question,success_signal,mistake_signal,next_adjustment,vod_marker,micro_drill,source_first_check,review_version
Soldier76,ソルジャー76,D.Va,D.Va,タンク,イニシエーター,接近管理,D.Vaのダイブ経路を止めるより、帰り道と味方サポートへの距離を見て被害を小さくする。,この試合で「D.Vaのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,D.Vaが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。 次に削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。できていれば成功。,D.Vaを正面で追い続け、敵サポートの回復線まで自分から入ってしまう。,次の試合ではダイブ後の着地を1秒だけ撃ち、戻る向きが決まった瞬間へヘリックス・ロケットを残す。,D.Vaが入った瞬間、味方サポートの体力、スプリントを使った位置を停止して確認する。,次の試合ではD.Vaを倒すことより、確認、攻撃、退避の順番を崩さない。,D.Vaのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,v50.18
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,イニシエーター,接近管理,ウィンストンのダイブ経路を止めるより、帰り道と味方サポートへの距離を見て被害を小さくする。,この試合で「ウィンストンのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ウィンストンが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。 次に削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。できていれば成功。,ウィンストンを正面で追い続け、敵サポートの回復線まで自分から入ってしまう。,次の試合ではダイブ後の着地を1秒だけ撃ち、戻る向きが決まった瞬間へヘリックス・ロケットを残す。,ウィンストンが入った瞬間、味方サポートの体力、スプリントを使った位置を停止して確認する。,次の試合ではウィンストンを倒すことより、確認、攻撃、退避の順番を崩さない。,ウィンストンのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,v50.18
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,イニシエーター,接近管理,ドゥームフィストのダイブ経路を止めるより、帰り道と味方サポートへの距離を見て被害を小さくする。,この試合で「ドゥームフィストのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ドゥームフィストが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。 次に削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。できていれば成功。,ドゥームフィストを正面で追い続け、敵サポートの回復線まで自分から入ってしまう。,次の試合ではダイブ後の着地を1秒だけ撃ち、戻る向きが決まった瞬間へヘリックス・ロケットを残す。,ドゥームフィストが入った瞬間、味方サポートの体力、スプリントを使った位置を停止して確認する。,次の試合ではドゥームフィストを倒すことより、確認、攻撃、退避の順番を崩さない。,ドゥームフィストのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,v50.18
Soldier76,ソルジャー76,Hazard,ハザード,タンク,ストールワート,接近管理,ハザードのダイブ経路を止めるより、帰り道と味方サポートへの距離を見て被害を小さくする。,この試合で「ハザードのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ハザードが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。 次に削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。できていれば成功。,ハザードを正面で追い続け、敵サポートの回復線まで自分から入ってしまう。,次の試合ではダイブ後の着地を1秒だけ撃ち、戻る向きが決まった瞬間へヘリックス・ロケットを残す。,ハザードが入った瞬間、味方サポートの体力、スプリントを使った位置を停止して確認する。,次の試合ではハザードを倒すことより、確認、攻撃、退避の順番を崩さない。,ハザードのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,v50.18
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,接近管理,レッキング・ボールのダイブ経路を止めるより、帰り道と味方サポートへの距離を見て被害を小さくする。,この試合で「レッキング・ボールのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,レッキング・ボールが防御資源を見せた直後に倒し切ろうとせず、戻る向きが決まった瞬間へメイン射撃とヘリックス・ロケットを合わせる。 次に削った後はスプリントで同じ場所から離れ、敵サポートか孤立ダメージへ視線を切り替える。できていれば成功。,レッキング・ボールを正面で追い続け、敵サポートの回復線まで自分から入ってしまう。,次の試合ではダイブ後の着地を1秒だけ撃ち、戻る向きが決まった瞬間へヘリックス・ロケットを残す。,レッキング・ボールが入った瞬間、味方サポートの体力、スプリントを使った位置を停止して確認する。,次の試合ではレッキング・ボールを倒すことより、確認、攻撃、退避の順番を崩さない。,レッキング・ボールのダイブ経路を撃つ前に、着地点・帰り道・味方サポートへの距離を先に確認する。,v50.18
Soldier76,ソルジャー76,Zarya,ザリア,タンク,ブルーザー,資源削り,ザリアを倒し切るより、防御資源を吐かせて後衛へ切り替える準備を作る。,この試合で「ザリアだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ザリアが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。 次に正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。できていれば成功。,ザリアだけに射撃時間を使い、後衛や横のダメージを見られなくなる。,次の試合ではザリアを削った後、防御・救助・移動スキルを使わせた時点で別の敵へ照準を移す。,ザリアへ撃った時間と、後衛へ切り替えた瞬間を確認する。,次の試合ではザリアを倒すことより、確認、攻撃、退避の順番を崩さない。,ザリアだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,v50.18
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,資源削り,ジャンカー・クイーンを倒し切るより、防御資源を吐かせて後衛へ切り替える準備を作る。,この試合で「ジャンカー・クイーンだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ジャンカー・クイーンが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。 次に正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。できていれば成功。,ジャンカー・クイーンだけに射撃時間を使い、後衛や横のダメージを見られなくなる。,次の試合ではジャンカー・クイーンを削った後、防御・救助・移動スキルを使わせた時点で別の敵へ照準を移す。,ジャンカー・クイーンへ撃った時間と、後衛へ切り替えた瞬間を確認する。,次の試合ではジャンカー・クイーンを倒すことより、確認、攻撃、退避の順番を崩さない。,ジャンカー・クイーンだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,v50.18
Soldier76,ソルジャー76,Domina,ドミナ,タンク,ストールワート,資源削り,ドミナを倒し切るより、防御資源を吐かせて後衛へ切り替える準備を作る。,この試合で「ドミナだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ドミナが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。 次に正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。できていれば成功。,ドミナだけに射撃時間を使い、後衛や横のダメージを見られなくなる。,次の試合ではドミナを削った後、防御・救助・移動スキルを使わせた時点で別の敵へ照準を移す。,ドミナへ撃った時間と、後衛へ切り替えた瞬間を確認する。,次の試合ではドミナを倒すことより、確認、攻撃、退避の順番を崩さない。,ドミナだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,v50.18
Soldier76,ソルジャー76,Mauga,マウガ,タンク,ブルーザー,資源削り,マウガを倒し切るより、防御資源を吐かせて後衛へ切り替える準備を作る。,この試合で「マウガだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,マウガが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。 次に正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。できていれば成功。,マウガだけに射撃時間を使い、後衛や横のダメージを見られなくなる。,次の試合ではマウガを削った後、防御・救助・移動スキルを使わせた時点で別の敵へ照準を移す。,マウガへ撃った時間と、後衛へ切り替えた瞬間を確認する。,次の試合ではマウガを倒すことより、確認、攻撃、退避の順番を崩さない。,マウガだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,v50.18
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,ストールワート,資源削り,ラマットラを倒し切るより、防御資源を吐かせて後衛へ切り替える準備を作る。,この試合で「ラマットラだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。」を守れたか。守れなかった場合、次は撃つ前に何を1つだけ見るか。,ラマットラが前へ出た瞬間は削り、防御・救助・移動スキルを使った直後に後ろのサポートか横のダメージへメイン射撃とヘリックス・ロケットを移す。 次に正面で長く撃ち続けず、スプリントで射線を変えて敵の回復と防御を分散させる。できていれば成功。,ラマットラだけに射撃時間を使い、後衛や横のダメージを見られなくなる。,次の試合ではラマットラを削った後、防御・救助・移動スキルを使わせた時点で別の敵へ照準を移す。,ラマットラへ撃った時間と、後衛へ切り替えた瞬間を確認する。,次の試合ではラマットラを倒すことより、確認、攻撃、退避の順番を崩さない。,ラマットラだけを倒す設計にせず、回復線・防御資源・後衛の露出を同時に見る。,v50.18
