hero_id,genji_comp_stats.threat_genji,genji_comp_stats.shuriken_value,genji_comp_stats.deflect_value,genji_comp_stats.swift_strike_value,genji_comp_stats.dragonblade_value,genji_comp_stats.cyber_agility_value,genji_comp_stats.backline_pressure_value,genji_comp_stats.matchup_rating,genji_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonblade_check,key_enemy_skills.route_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.route_note
D.Va,5,5,5,5,4,8,5,6,6,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""tank_not_main_target""]","[""ブースター"", ""ディフェンス・マトリックス""]","[""ブースター後"", ""ディフェンス・マトリックス後""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",D.Va本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,ブースター後、ディフェンス・マトリックス後,龍撃剣はD.Va本人に固執しない。ディフェンス・マトリックス、ブースターを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Winston,8,6,2,5,5,8,5,4,8,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""deflect_low_value_or_beam_danger"", ""tank_not_main_target""]","[""ジャンプ・パック"", ""バリア・プロジェクター"", ""テスラ・キャノン""]","[""ジャンプ・パック後"", ""バリア・プロジェクター後""]","[""バリア・プロジェクター"", ""ジャンプ・パック"", ""テスラ・キャノン""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ウィンストン相手は、テスラ・キャノンを木の葉返しで返せない前提で動く。バリア内へ深く入りすぎず、ジャンプ・パック後に敵サポート側へ圧を切り替える。,ジャンプ・パック後、バリア・プロジェクター後,龍撃剣はウィンストン本人に固執しない。バリア・プロジェクター、ジャンプ・パックを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Doomfist,7,5,6,5,5,8,5,4,7,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""cc_peel_danger"", ""tank_not_main_target""]","[""サイズミック・スラム"", ""パワー・ブロック"", ""ロケット・パンチ""]","[""サイズミック・スラム後"", ""パワー・ブロック後""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ドゥームフィスト相手は、迎撃スキルを残したまま風斬りで入らない。手裏剣で体力差かスキル消費を作り、サイズミック・スラムを使わせた後に詰める。,サイズミック・スラム後、パワー・ブロック後,龍撃剣はドゥームフィスト本人に固執しない。パワー・ブロック、サイズミック・スラムを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Hazard,6,5,6,5,6,7,5,6,7,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""tank_not_main_target""]","[""ヴァイオレント・リープ"", ""スパイク・ガード"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ後"", ""スパイク・ガード後""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ハザード本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,ヴァイオレント・リープ後、スパイク・ガード後,龍撃剣はハザード本人に固執しない。スパイク・ガード、ヴァイオレント・リープを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Wrecking Ball,4,5,5,5,5,8,5,6,6,"[""vertical_route_required"", ""mobility_duel_or_chase"", ""tank_not_main_target""]","[""グラップリング・クロー"", ""ロール"", ""アダプティブ・シールド""]","[""グラップリング・クロー後"", ""ロール後""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",レッキング・ボール本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,グラップリング・クロー後、ロール後,龍撃剣はレッキング・ボール本人に固執しない。アダプティブ・シールド、グラップリング・クローを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Zarya,9,6,3,7,5,5,5,5,9,"[""deflect_low_value_or_beam_danger"", ""dragonblade_stop_check"", ""tank_not_main_target""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""バリア消費後"", ""高エネルギーでない時""]","[""バリア・ショット"", ""パーティクル・バリア"", ""グラビトン・サージ""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ザリア相手は、バリア中に風斬りや龍撃剣を当ててエネルギーを渡さない。バリアを見てから対象を変え、孤立した後衛へ攻撃を仕掛ける。,バリア消費後、高エネルギーでない時,龍撃剣はザリア本人に固執しない。バリア・ショット、パーティクル・バリアを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Junker Queen,5,6,6,7,6,5,5,6,8,"[""tank_not_main_target""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト後"", ""ギザギザブレード後""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""カーネイジ""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ジャンカー・クイーン本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,コマンディング・シャウト後、ギザギザブレード後,龍撃剣はジャンカー・クイーン本人に固執しない。コマンディング・シャウト、ギザギザブレードを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Domina,4,6,6,7,6,5,5,6,8,"[""tank_not_main_target""]","[""バリア・アレイ"", ""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""バリア・アレイ後"", ""クリスタル・チャージ後""]","[""バリア・アレイ"", ""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ドミナ本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,バリア・アレイ後、クリスタル・チャージ後,龍撃剣はドミナ本人に固執しない。バリア・アレイ、クリスタル・チャージを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Mauga,5,7,7,7,6,5,5,6,8,"[""tank_not_main_target""]","[""カーディアック・オーバードライブ"", ""オーバーラン"", ""ケージ・ファイト""]","[""カーディアック・オーバードライブ後"", ""オーバーラン後""]","[""カーディアック・オーバードライブ"", ""オーバーラン"", ""ケージ・ファイト""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",マウガ本体へ居座らない。手裏剣でアルティメットを溜めつつ、敵サポートが孤立した瞬間に風斬りで圧を切り替える。,カーディアック・オーバードライブ後、オーバーラン後,龍撃剣はマウガ本人に固執しない。カーディアック・オーバードライブ、オーバーランを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
Ramattra,6,6,4,7,6,5,5,5,8,"[""deflect_low_value_or_beam_danger"", ""tank_not_main_target""]","[""ヴォイド・バリア"", ""ブロック"", ""ネメシス・フォーム""]","[""ヴォイド・バリア後"", ""ブロック後""]","[""ヴォイド・バリア"", ""ブロック"", ""ネメシス・フォーム""]","[""タンク正面に居座らない"", ""壁登りで後衛側へ回る"", ""龍撃剣はタンク単体へ振らない""]",ラマットラ相手は、木の葉返しで返せない攻撃を受ける距離に居続けない。手裏剣で反応を見て、ヴォイド・バリア後だけ風斬りの圧をかける。,ヴォイド・バリア後、ブロック後,龍撃剣はラマットラ本人に固執しない。ヴォイド・バリア、ブロックを確認し、孤立した後衛か体力が減った敵から切る。,サイバー体術は逃げにも攻めにも使う。壁登りで後衛側へ回ることで、正面の射線を避けながら手裏剣を通す射線を作る。
