target_id,enemy_id,primary_category,secondary_category,ui_badge_label,category_description,category_reason,recommended_response,avoid_response,practice_focus
Soldier76,D.Va,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,D.Vaの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,D.Vaを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Winston,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ウィンストンの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ウィンストンを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Doomfist,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,ドゥームフィストの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,ドゥームフィストを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Hazard,フランカー対策,高耐久削り,フランカー,ダイブ経路、帰り道、再突入を分けて管理する対面。,ダイブ経路ではなく帰り道と再突入を管理する。,ハザードのダイブ経路を見すぎず、帰り道と再突入の位置に照準を置く。,ハザードを単独で深追いし、味方射線と回復範囲から外れる。,ソルジャー76視点では「フランカー対策」として処理する。最初にダイブ経路ではなく帰り道と再突入を管理する。
Soldier76,Wrecking Ball,空中対策,フランカー対策,空中対策,高度・着地・支援線を分けて処理する対面。,着地・遮蔽移動・支援線を分けて処理する。,レッキング・ボールの敵が空中の高い位置にいる時ではなく、降下・着地・支援線が切れる瞬間へ中距離継続火力を合わせる。,レッキング・ボールを見上げ続けて地上の脅威と遮蔽を失う。,ソルジャー76視点では「空中対策」として処理する。最初に着地・遮蔽移動・支援線を分けて処理する。
Soldier76,Zarya,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ザリアを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ザリアだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Soldier76,Junker Queen,撃ち合いテンポ,高耐久削り,撃ち合い,スキル交換後の1回のピークで有利不利が変わる対面。,主要スキル後の1回のピークで有利を取る。,ジャンカー・クイーンの主要スキル後に1回のピークし、同じ位置で撃ち合いを続けない。,ジャンカー・クイーンのスキルが残っている状態で同じピークを繰り返す。,ソルジャー76視点では「撃ち合いテンポ」として処理する。最初に主要スキル後の1回のピークで有利を取る。
Soldier76,Domina,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,ドミナを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,ドミナだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Soldier76,Mauga,高耐久削り,撃ち合いテンポ,高耐久,倒し切りより、資源を吐かせて後衛へ切り替える対面。,倒し切りより資源を使わせて射線を変える。,マウガを倒し切ろうとせず、防御スキルを使わせたら後衛か孤立敵へ切り替える。,マウガだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「高耐久削り」として処理する。最初に倒し切りより資源を使わせて射線を変える。
Soldier76,Ramattra,盾割り・正面資源,高耐久削り,盾資源,バリア・防御スキルを削り、真正面に時間を使いすぎない対面。,バリアや防御スキルを削って後衛へ切り替える。,ラマットラのバリア・防御スキルを削り、射線が切れた瞬間が出た瞬間だけ撃破候補へ切り替える。,ラマットラだけを撃ち続け、後衛の支援線を放置する。,ソルジャー76視点では「盾割り・正面資源」として処理する。最初にバリアや防御スキルを削って後衛へ切り替える。
