target_id,target_ja,enemy_id,enemy_ja,enemy_role,enemy_sub_role,composition_basic_tier,composition_category_summary_tier,detail_basic_plan_tier,matchup_category_tier,priority_target_summary_tier,matchup_reason_clarity_tier,diagnostic_uniqueness_tier,skill_wait_windows_tier,ultimate_decision_tier,rank_advice_quality_tier,free_preview_text,paid_unlock_text,monetization_note,entitlement_version
Soldier76,ソルジャー76,D.Va,D.Va,タンク,イニシエーター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、D.Vaへの基本方針と対面カテゴリまでは無料で確認できる。,D.Vaへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,イニシエーター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ウィンストンへの基本方針と対面カテゴリまでは無料で確認できる。,ウィンストンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,イニシエーター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ドゥームフィストへの基本方針と対面カテゴリまでは無料で確認できる。,ドゥームフィストへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Hazard,ハザード,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ハザードへの基本方針と対面カテゴリまでは無料で確認できる。,ハザードへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,イニシエーター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、レッキング・ボールへの基本方針と対面カテゴリまでは無料で確認できる。,レッキング・ボールへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Zarya,ザリア,タンク,ブルーザー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ザリアへの基本方針と対面カテゴリまでは無料で確認できる。,ザリアへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ジャンカー・クイーンへの基本方針と対面カテゴリまでは無料で確認できる。,ジャンカー・クイーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Domina,ドミナ,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ドミナへの基本方針と対面カテゴリまでは無料で確認できる。,ドミナへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Mauga,マウガ,タンク,ブルーザー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、マウガへの基本方針と対面カテゴリまでは無料で確認できる。,マウガへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ラマットラへの基本方針と対面カテゴリまでは無料で確認できる。,ラマットラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,ブルーザー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ロードホッグへの基本方針と対面カテゴリまでは無料で確認できる。,ロードホッグへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,ブルーザー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、オリーサへの基本方針と対面カテゴリまでは無料で確認できる。,オリーサへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Sigma,シグマ,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、シグマへの基本方針と対面カテゴリまでは無料で確認できる。,シグマへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,ストールワート,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ラインハルトへの基本方針と対面カテゴリまでは無料で確認できる。,ラインハルトへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Ashe,アッシュ,ダメージ,シャープシューター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、アッシュへの基本方針と対面カテゴリまでは無料で確認できる。,アッシュへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ウィドウメイカーへの基本方針と対面カテゴリまでは無料で確認できる。,ウィドウメイカーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Emre,エムレ,ダメージ,スペシャリスト,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、エムレへの基本方針と対面カテゴリまでは無料で確認できる。,エムレへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Cassidy,キャスディ,ダメージ,シャープシューター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、キャスディへの基本方針と対面カテゴリまでは無料で確認できる。,キャスディへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Sojourn,ソジョーン,ダメージ,シャープシューター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ソジョーンへの基本方針と対面カテゴリまでは無料で確認できる。,ソジョーンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ソルジャー76への基本方針と対面カテゴリまでは無料で確認できる。,ソルジャー76への有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Hanzo,ハンゾー,ダメージ,シャープシューター,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ハンゾーへの基本方針と対面カテゴリまでは無料で確認できる。,ハンゾーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Freja,フレイヤ,ダメージ,リコン,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、フレイヤへの基本方針と対面カテゴリまでは無料で確認できる。,フレイヤへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Anran,アンラン,ダメージ,フランカー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、アンランへの基本方針と対面カテゴリまでは無料で確認できる。,アンランへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Genji,ゲンジ,ダメージ,フランカー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ゲンジへの基本方針と対面カテゴリまでは無料で確認できる。,ゲンジへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Shion,シオン,ダメージ,フランカー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、シオンへの基本方針と対面カテゴリまでは無料で確認できる。,シオンへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Sombra,ソンブラ,ダメージ,リコン,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ソンブラへの基本方針と対面カテゴリまでは無料で確認できる。,ソンブラへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Tracer,トレーサー,ダメージ,フランカー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、トレーサーへの基本方針と対面カテゴリまでは無料で確認できる。,トレーサーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
Soldier76,ソルジャー76,Venture,ベンチャー,ダメージ,フランカー,free,preview,free,preview,preview,paid,paid,paid,paid,paid,ソルジャー76視点で、ベンチャーへの基本方針と対面カテゴリまでは無料で確認できる。,ベンチャーへの有利・不利理由、敵スキル待ち、アルティメット判断、ランク別助言は有料価値として扱う。,現段階では表示制限ではなくDB上の公開区分メタデータ。認証・決済実装時にこの区分を参照する。,v50.13
