target_id,enemy_id,text_score,rating_score,total_quality_score,quality_band,issue_count,short_text_fields,rating_range_for_target,one_line_summary,next_edit_priority,review_status
Soldier76,D.Va,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対D.Va: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Winston,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ウィンストン: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Doomfist,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ドゥームフィスト: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Hazard,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ハザード: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Wrecking Ball,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対レッキング・ボール: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Zarya,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ザリア: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Junker Queen,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ジャンカー・クイーン: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Domina,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ドミナ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Mauga,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対マウガ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Ramattra,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ラマットラ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Roadhog,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ロードホッグ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Orisa,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対オリーサ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Sigma,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対シグマ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Reinhardt,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ラインハルト: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Ashe,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対アッシュ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Widowmaker,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対ウィドウメイカー: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Emre,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対エムレ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
Soldier76,Cassidy,97,47,89,B,1,unique.duplication_guardrail,5.0-5.0 stdev 0.00,ソルジャー76対キャスディ: 品質B、スコア89/100。短い説明欄に勝ち方・負け筋・確認タイミングを追記。,短い説明欄に勝ち方・負け筋・確認タイミングを追記。,needs_depth
