hero_id,cassidy_comp_stats.threat_cassidy,cassidy_comp_stats.flashbang_value,cassidy_comp_stats.roll_pressure,cassidy_comp_stats.peacemaker_value,cassidy_comp_stats.deadeye_denial,cassidy_comp_stats.peel_value,cassidy_comp_stats.matchup_rating,cassidy_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.deadeye_check,key_enemy_skills.flashbang_target,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.flashbang_policy,diagnosis_snippets.deadeye_condition,diagnosis_snippets.forbidden,diagnosis_snippets.cross_target_note,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cassidy_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,source_status,provisional_note,cross_target_recalibration,torbjorn_reassessment_note
D.Va,8,5,7,7,10,7,4,7,"[""dive_or_close_pressure"", ""aerial_tracking"", ""deadeye_must_check"", ""frontline_farm""]","[""ディフェンス・マトリックス"", ""ブースター"", ""自爆""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ディフェンス・マトリックス"", ""自爆"", ""ブースター""]","[""ブースター後の着地"", ""ブースター""]",味方サポートを守れる中距離遮蔽で待つ。ディフェンス・マトリックス中は無理に投げず、ブースター後の着地や切れた直後を狙う。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,ディフェンス・マトリックス中はフラッシュバンを投げない。ブースター後に味方側へ入った時、またはディフェンス・マトリックスが切れた近距離で使う。,ディフェンス・マトリックス、自爆、ブースターを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Winston,9,6,8,6,7,8,4,7,"[""dive_or_close_pressure""]","[""ジャンプ・パック"", ""バリア・プロジェクター"", ""テスラ・キャノン""]","[""ジャンプ・パック"", ""バリア・プロジェクター""]","[""バリア・プロジェクター"", ""ジャンプ・パック"", ""テスラ・キャノン""]","[""ジャンプ・パックの着地"", ""ジャンプ・パック""]",ジャンプ・パックで味方側へ入る先を見て待つ。バリア・プロジェクター内外の位置を確認してから止める。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,ジャンプ・パック後に味方側へ入った時だけ使う。バリア・プロジェクター越しに無理に狙わず、内側へ入るか外へ出た瞬間を待つ。,バリア・プロジェクター、ジャンプ・パック、テスラ・キャノンを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Doomfist,9,9,9,6,6,9,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""パワー・ブロック""]","[""パワー・ブロック"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""ロケット・パンチの溜め"", ""サイズミック・スラム後"", ""ロケット・パンチ""]",ドゥームフィストが入るダイブ経路を味方側から見る。ロケット・パンチ後の硬直や退路を狙う。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,移動前に先投げしない。ロケット・パンチ後、または味方サポートへ入った近距離でフラッシュバンを使う。,パワー・ブロック、サイズミック・スラム、ロケット・パンチを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Hazard,7,7,7,7,6,7,6,7,"[""dive_or_close_pressure""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""スパイク・ガード""]","[""ヴァイオレント・リープ"", ""スパイク・ガード"", ""ジャギー・ウォール""]","[""スパイク・ガード"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ後"", ""ジャギー・ウォール""]",ハザードが入るダイブ経路を味方側から見る。突入スキル後の硬直や退路を狙う。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,移動前に先投げしない。突入スキル後、または味方サポートへ入った近距離でフラッシュバンを使う。,スパイク・ガード、ジャギー・ウォール、ヴァイオレント・リープを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Wrecking Ball,8,9,8,5,6,10,6,8,"[""dive_or_close_pressure"", ""flashbang_high_value""]","[""グラップリング・クロー"", ""パイルドライバー"", ""アダプティブ・シールド"", ""ロール""]","[""パイルドライバー"", ""グラップリング・クロー"", ""ロール"", ""アダプティブ・シールド""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""パイルドライバー後"", ""ロールの接近"", ""グラップリング・クロー""]",レッキング・ボールが入るダイブ経路を味方側から見る。パイルドライバー後の硬直や退路を狙う。,味方サポートへ入る瞬間を最優先で止める。撃破よりも接近停止と体力差作りを優先。,移動前に先投げしない。パイルドライバー後、または味方サポートへ入った近距離でフラッシュバンを使う。,アダプティブ・シールド、グラップリング・クロー、ロールを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,フラッシュバンを先に投げて外した状態で前に出ない。接近された後の保険を残す。,,,,,,,,,,,,,
Zarya,5,4,5,9,8,5,5,6,"[""deadeye_must_check"", ""frontline_farm""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""バリア・ショット"", ""パーティクル・バリア"", ""グラビトン・サージ""]","[""バリア使用後の前進""]",ザリアの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,バリア・ショット、パーティクル・バリア、グラビトン・サージを確認するまでは温存。正面から撃つより、敵が遮蔽を失った瞬間の人数差作りに使う。,敵の防御・救助アビリティが残ったままデッド・アイを正面で撃たない。,,,,,,,,,,,,,
Junker Queen,6,6,6,9,5,6,6,6,"[""frontline_farm""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""ランペイジ"", ""カーネイジ""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト"", ""ランペイジ""]","[""カーネイジの間合い入り"", ""ギザギザブレード"", ""カーネイジ""]",ジャンカー・クイーンの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,コマンディング・シャウト、ランペイジを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Domina,5,5,5,10,5,5,6,6,"[""frontline_farm""]","[""クリスタル・チャージ"", ""バリア・アレイ""]","[""クリスタル・チャージ"", ""バリア・アレイ""]","[""バリア・アレイ""]","[""クリスタル・チャージ後""]",ドミナの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,バリア・アレイを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Mauga,5,4,5,10,5,3,6,5,"[""frontline_farm""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""カーディアック・オーバードライブ"", ""オーバーラン""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン後""]",マウガの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,カーディアック・オーバードライブ、ケージ・ファイトを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
Ramattra,5,4,5,10,6,5,6,6,"[""cover_duel"", ""frontline_farm""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""ヴォイド・バリア"", ""ブロック"", ""貪欲な渦""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォームで詰めた瞬間"", ""ネメシス・フォーム"", ""貪欲な渦""]",ラマットラの正面に立ち続けず、味方サポートを守れる遮蔽から撃つ。,弾を当てやすいエネルギー源。撃つ価値はあるが、サポートが見えたら即座に照準を移す。,正面タンクへの先投げは避ける。味方サポートへ入った相手、または退路が限られた近距離だけに使う。,ヴォイド・バリア、ブロック、アナイアレーションを見てから、遮蔽裏への移動を強要する目的で使う。1キル確定に固執しない。,タンクだけを撃って弾倉を空にしない。ピースキーパーのリロードタイミングを遮蔽裏に置く。,,,,,,,,,,,,,
