target_id,enemy_id,enemy_pattern,learning_goal,bronze,silver,gold,platinum,diamond_plus
Soldier76,D.Va,air_or_long,D.Vaの射線を長く受けず、1回のピークで圧を返す。,D.Vaと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,ディフェンス・マトリックスや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,D.Vaの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,D.Vaが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
Soldier76,Winston,air_or_long,ウィンストンの射線を長く受けず、1回のピークで圧を返す。,ウィンストンと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,ジャンプ・パックや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,ウィンストンの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,ウィンストンが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
Soldier76,Doomfist,air_or_long,ドゥームフィストの射線を長く受けず、1回のピークで圧を返す。,ドゥームフィストと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,パワー・ブロックや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,ドゥームフィストの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,ドゥームフィストが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
Soldier76,Hazard,mobile,ハザードを追い切るより、入ってきた瞬間を止める。,ハザードを一人で追わない。味方側の遮蔽に戻りながら通常射撃を当て、帰らせれば成功とする。,移動・防御スキルを見てからヘリックス・ロケットを使う。外した時はスプリントを退路として残し、同じ場所で撃ち続けない。,ハザードが味方サポートへ入る瞬間だけ照準を合わせる。先撃ちより、接近後の硬直にヘリックス・ロケットを置く。,ハザードを追い返した直後に射線を切り替える。次の接近前に敵サポートか別のダメージへ先に体力差を作る。,ハザードの最初の接近ルートを読んで立つ。タクティカル・バイザーは迎撃後の人数差作りに使い、混戦へ先撃ちしない。
Soldier76,Wrecking Ball,air_or_long,レッキング・ボールの射線を長く受けず、1回のピークで圧を返す。,レッキング・ボールと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,グラップリング・クローや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,レッキング・ボールの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,レッキング・ボールが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
Soldier76,Zarya,frontline,ザリアは倒し切りより、資源を使わせて後衛へ切り替える。,ザリアだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,バリアを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ザリアを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ザリアの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Junker Queen,frontline,ジャンカー・クイーンは倒し切りより、資源を使わせて後衛へ切り替える。,ジャンカー・クイーンだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,コマンディング・シャウトを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ジャンカー・クイーンを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ジャンカー・クイーンの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Domina,frontline,ドミナは倒し切りより、資源を使わせて後衛へ切り替える。,ドミナだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,防御スキルを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ドミナを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ドミナの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Mauga,frontline,マウガは倒し切りより、資源を使わせて後衛へ切り替える。,マウガだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,カーディアック・オーバードライブを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,マウガを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,マウガの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Ramattra,frontline,ラマットラは倒し切りより、資源を使わせて後衛へ切り替える。,ラマットラだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,ネメシス・フォームを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ラマットラを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ラマットラの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Roadhog,frontline,ロードホッグは倒し切りより、資源を使わせて後衛へ切り替える。,ロードホッグだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,チェイン・フックを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ロードホッグを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ロードホッグの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Orisa,frontline,オリーサは倒し切りより、資源を使わせて後衛へ切り替える。,オリーサだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,フォーティファイを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,オリーサを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,オリーサの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Sigma,frontline,シグマは倒し切りより、資源を使わせて後衛へ切り替える。,シグマだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,キネティック・グラスプを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,シグマを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,シグマの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Reinhardt,frontline,ラインハルトは倒し切りより、資源を使わせて後衛へ切り替える。,ラインハルトだけを撃ち続けない。遮蔽から通常射撃で削り、見えたダメージかサポートへ一度照準を移す。,バリア・フィールドを見てからヘリックス・ロケットで撃破圏内へ入れる。開幕の先撃ちは減らし、敵の防御を先に使わせる。,味方タンクが圧をかけた瞬間にピークする。自分だけ先に顔を出して削られない。,ラインハルトを撃つ目的を削り、撃破、アルティメット確認のどれかに決める。目的が消えたら射線を変える。,ラインハルトの防御・移動リソースを数え、次のピークで誰を倒すか先に決める。タクティカル・バイザーは相手の受けが薄い側へ切る。
Soldier76,Ashe,air_or_long,アッシュの射線を長く受けず、1回のピークで圧を返す。,アッシュと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,コーチ・ガンや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,アッシュの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,アッシュが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
Soldier76,Widowmaker,air_or_long,ウィドウメイカーの射線を長く受けず、1回のピークで圧を返す。,ウィドウメイカーと長く見合わない。1回撃ったら遮蔽へ戻り、開けた場所で立ち止まらない。,グラップリング・フックや再ピークを見てからヘリックス・ロケットを合わせる。先に撃って外したら、スプリントで次の遮蔽へ戻る。,ウィドウメイカーの照準が味方へ向いた瞬間だけピークする。正面勝負ではなく、短い別射線で体力を削る。,高台や別射線は維持より再確保を重視する。圧を受けたら降り、次のピーク位置を変える。,ウィドウメイカーが見ている射線を先に読み、味方の前進と同時に横射線を作る。タクティカル・バイザーは射線を割った後に使う。
