hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
D.Va,3.4,"[""dive_threat"", ""aerial_pressure"", ""heavy_frontline""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""自爆"", ""ディフェンス・マトリックス""]",D.Vaには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ディフェンス・マトリックス・ブースターを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ブースターの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Winston,5.6,"[""dive_threat"", ""heavy_frontline""]","[""テスラ・キャノン"", ""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""テスラ・キャノン"", ""バリア・プロジェクター""]",ウィンストンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。テスラ・キャノン・バリア・プロジェクターを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ジャンプ・パックの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Doomfist,5.3,"[""dive_threat"", ""heavy_frontline""]","[""ロケット・パンチ"", ""パワー・ブロック"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""パワー・ブロック""]",ドゥームフィストには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ロケット・パンチ・パワー・ブロックを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、サイズミック・スラム・ロケット・パンチの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Hazard,4.8,"[""dive_threat"", ""heavy_frontline""]","[""ジャギー・ウォール"", ""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ジャギー・ウォール"", ""スパイク・ガード""]",ハザードには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ジャギー・ウォール・スパイク・ガードを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ヴァイオレント・リープの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Wrecking Ball,5.8,"[""dive_threat"", ""heavy_frontline"", ""flank_threat""]","[""パイルドライバー"", ""アダプティブ・シールド"", ""グラップリング・クロー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""パイルドライバー"", ""アダプティブ・シールド""]",レッキング・ボールには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。パイルドライバー・アダプティブ・シールドを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、グラップリング・クロールの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Zarya,4.4,"[""heavy_frontline"", ""save_sustain""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""バリア・ショット""]","[""グラビトン・サージ"", ""バリア・ショット"", ""パーティクル・バリア""]",ザリアには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。グラビトン・サージ・パーティクル・バリアを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、パーティクル・バリア・ショットの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Junker Queen,6.6,"[""heavy_frontline"", ""save_sustain""]","[""ランペイジ"", ""コマンディング・シャウト"", ""ギザギザブレード""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]","[""ランペイジ"", ""コマンディング・シャウト""]",ジャンカー・クイーンには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ランペイジ・コマンディング・シャウトを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ギザギザブレード・カーネイジの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Domina,7.1,"[""heavy_frontline"", ""save_sustain""]","[""パノプティコン"", ""バリア・アレイ"", ""クリスタル・チャージ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""パノプティコン"", ""バリア・アレイ""]",ドミナには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。パノプティコン・バリア・アレイを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、クリスタル・チャージ・ソニック・リパルサーの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Mauga,6.9,"[""heavy_frontline"", ""save_sustain""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]",マウガには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。ケージ・ファイト・カーディアック・オーバードライブを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、オーバーラン・カーディアック・オーバードライブの後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
Ramattra,7.0,"[""heavy_frontline"", ""save_sustain""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]",ラマットラには正面の撃ち合いを伸ばさず、ダイブ経路・遮蔽横・退路へフラグ・ランチャーを撃ち込む。アナイアレーション・ヴォイド・バリアを受ける位置ではなく、通らざるを得ない場所を先に爆破する。,優先度は、ネメシス・フォーム・貪欲な渦の後に上げる。倒し切れない時もスティール・トラップで合流先をふさぐ。
