hero_id,ashe_comp_stats.threat_ashe,ashe_comp_stats.dynamite_value,ashe_comp_stats.coach_gun_value,ashe_comp_stats.viper_value,ashe_comp_stats.bob_denial,ashe_comp_stats.highground_value,ashe_comp_stats.matchup_rating,ashe_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dynamite_check,key_enemy_skills.bob_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority,diagnosis_snippets.dynamite_policy,diagnosis_snippets.bob_condition,ashe_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.diff_points,source_status,source_note,cross_target_recalibration,torbjorn_reassessment_note
D.Va,10,7,8,8,10,8,5,7,"[""close_or_dive_pressure"", ""aerial_control"", ""dynamite_value"", ""bob_must_check""]","[""ディフェンス・マトリックス"", ""ブースター"", ""自爆""]","[""ブースター""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ディフェンス・マトリックス"", ""自爆""]",D.Va相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ブースターで高台へ接近するかサポートへ攻撃を仕掛けた直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはD.Va本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ディフェンス・マトリックス、自爆を確認してからB.O.Bを出す。,,,,,,,,,,,,,
Winston,10,8,9,6,6,7,4,8,"[""close_or_dive_pressure"", ""dynamite_value""]","[""バリア・プロジェクター"", ""ジャンプ・パック"", ""テスラ・キャノン""]","[""ジャンプ・パック""]","[""バリア・プロジェクター"", ""ジャンプ・パック""]","[""バリア・プロジェクター"", ""テスラ・キャノン""]",ウィンストン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャンプ・パック着地後、バリア・プロジェクターの内外が分かれた瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはウィンストン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・プロジェクター、テスラ・キャノンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Doomfist,10,7,10,6,6,7,2,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ""]","[""パワー・ブロック"", ""サイズミック・スラム""]","[""パワー・ブロック"", ""ロケット・パンチ""]",ドゥームフィスト相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パワー・ブロック後、パンチを使って味方側へ入った瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはドゥームフィスト本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,パワー・ブロック、ロケット・パンチを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Hazard,10,8,8,6,6,5,4,8,"[""close_or_dive_pressure"", ""dynamite_value""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""スパイク・ガード"", ""ジャギー・ウォール""]",ハザード相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ジャギー・ウォールで退路を切られる前後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはハザード本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,スパイク・ガード、ジャギー・ウォールを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Wrecking Ball,10,7,10,6,6,7,2,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""ロール"", ""パイルドライバー""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""アダプティブ・シールド"", ""パイルドライバー""]",レッキング・ボール相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パイルドライバー後、またはグラップリング・クローで止まった瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはレッキング・ボール本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,アダプティブ・シールド、パイルドライバーを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Zarya,7,10,6,4,9,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""バリア・ショット"", ""パーティクル・バリア""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]",ザリア相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「パーティクル・バリアが切れた直後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはザリア本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,パーティクル・バリア、バリア・ショット、グラビトン・サージを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Junker Queen,8,10,8,4,6,5,4,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""コマンディング・シャウト"", ""ランペイジ""]","[""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト""]","[""コマンディング・シャウト"", ""ランペイジ""]",ジャンカー・クイーン相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「コマンディング・シャウトで詰めた後、射程に入った瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはジャンカー・クイーン本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,コマンディング・シャウト、ランペイジを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Domina,8,9,6,4,6,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""バリア・アレイ""]","[""バリア・アレイ"", ""パノプティコン""]",ドミナ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「クリスタル・チャージ、ソニック・リパルサーの後」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはドミナ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,バリア・アレイ、パノプティコンを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Mauga,7,10,8,4,8,5,5,6,"[""dynamite_value"", ""bob_must_check""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン""]","[""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]",マウガ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「カーディアック・オーバードライブ中に味方が正面で受けている時」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはマウガ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,カーディアック・オーバードライブ、ケージ・ファイトを確認してからB.O.Bを出す。,,,,,,,,,,,,,
Ramattra,8,10,8,4,6,5,5,7,"[""close_or_dive_pressure"", ""dynamite_value""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム"", ""貪欲な渦""]","[""ヴォイド・バリア"", ""ブロック""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]",ラマットラ相手は、最初に安全な中〜遠距離の遮蔽か高台を使う。確認するタイミングは「ネメシス・フォームで正面のスペースへ入る瞬間」。長く覗かず、撃った後は遮蔽へ戻る。,ザ・ヴァイパーで先に体力差を作り、ダイナマイトで遮蔽裏や集団を動かす。倒し切れない時は敵サポートへ圧を切り替える。,ダイナマイトはラマットラ本人だけでなく、回復を受ける位置、逃げ道、味方タンクが当たるダイブ経路に使う。単体牽制で毎回使い切らない。,ヴォイド・バリア、ブロック、アナイアレーションを確認してからB.O.Bを出す。,,,,,,,,,,,,,
