hero_id,symmetra_comp_stats.threat_symmetra,symmetra_comp_stats.beam_charge_value,symmetra_comp_stats.sentry_turret_value,symmetra_comp_stats.teleporter_value,symmetra_comp_stats.photon_barrier_denial,symmetra_comp_stats.close_space_value,symmetra_comp_stats.matchup_rating,symmetra_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.photon_barrier_check,key_enemy_skills.beam_advantage,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.beam_policy,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,symmetra_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.diff_points,cross_target_recalibration,torbjorn_reassessment_note
D.Va,8,8,7,7,7,5,5,9,"[""mobility_threat"", ""air_pressure"", ""projectile_defense_ignored_by_beam"", ""beam_counterexample_core""]","[""ブースター"", ""自爆""]","[""ブースター後"", ""自爆後""]","[""自爆"", ""ブースター""]","[""ディフェンス・マトリックス中もビームを当てる""]",D.Vaは機動力が高いが、ディフェンス・マトリックスではフォトン・プロジェクターを止めにくい。ブースター後の着地をダイブ経路で受け、近距離だけビームを当てる。,ブースター後、味方後衛へ仕掛けた瞬間,フォトン・バリアはD.Vaの空中射線を切り、地上の味方が崩れない時間を作る。自爆、ブースターを見てから、空だけでなく地上の射線も分断する。,,,,,,,,,,,,,
Winston,7,8,8,7,6,5,6,7,"[""mobility_threat"", ""barrier_ammo_favorable""]","[""ジャンプ・パック"", ""バリア・プロジェクター"", ""テスラ・キャノン""]","[""ジャンプ・パック後"", ""バリア・プロジェクター後""]","[""バリア・プロジェクター"", ""ジャンプ・パック""]","[""バリアを撃ってビームを維持する""]",ウィンストン相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,ジャンプ・パック後、味方後衛へ仕掛けた瞬間,フォトン・バリアはウィンストンの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。バリア・プロジェクター、ジャンプ・パックを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Orisa,6,8,5,5,5,8,6,6,"[""frontline_charge_target"", ""long_sightline_threat"", ""projectile_defense_ignored_by_beam""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""フォーティファイ"", ""ジャベリン・スピン"", ""エネルギー・ジャベリン""]","[""投射物防御中もビームを当てる""]",オリーサ相手は近距離のダイブ経路が主戦場。射程に入った瞬間にフォトン・プロジェクターを当て続け、危なくなる前にテレポーターで位置を変える。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはオリーサが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。フォーティファイ、ジャベリン・スピン、エネルギー・ジャベリンを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Zarya,6,8,5,5,5,8,8,6,"[""frontline_charge_target"", ""barrier_ammo_favorable""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""バリアを撃ってビームを維持する""]",ザリア相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはザリアが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。パーティクル・バリア、バリア・ショット、グラビトン・サージを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Sigma,5,8,5,5,5,5,6,5,"[""long_sightline_threat"", ""projectile_defense_ignored_by_beam"", ""barrier_ammo_favorable""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""エクスペリメンタル・バリア"", ""キネティック・グラスプ"", ""アクリーション""]","[""バリアを撃ってビームを維持する""]",シグマ相手はバリアやシールドを撃てる時間がビーム維持の好機になる。フォトン・プロジェクターを無理に本体へ当てに行かず、遮蔽を使って安全にビームを育ててから前線へ圧を出す。,遮蔽から出た瞬間、または重要スキル使用後,フォトン・バリアはシグマの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。エクスペリメンタル・バリア、キネティック・グラスプ、アクリーションを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Junker Queen,6,8,5,5,5,8,6,6,"[""frontline_charge_target""]","[""ランペイジ""]","[""ギザギザブレード"", ""カーネイジ""]","[""ランペイジ""]",,ジャンカー・クイーン相手は近距離のダイブ経路が主戦場。射程に入った瞬間にフォトン・プロジェクターを当て続け、危なくなる前にテレポーターで位置を変える。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはジャンカー・クイーンが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。ランペイジを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Doomfist,7,5,8,7,6,5,4,7,"[""mobility_threat""]","[""パワー・ブロック"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""パワー・ブロック""]","[""パワー・ブロック"", ""ロケット・パンチ"", ""サイズミック・スラム""]",,ドゥームフィストが飛び込むダイブ経路にセントリー・タレットを置き、入ってきた瞬間だけフォトン・プロジェクターを当てる。追いかけるより、味方後衛へ仕掛ける経路を塞ぐ。,ロケット・パンチ、味方後衛へ仕掛けた瞬間,フォトン・バリアはドゥームフィストの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。パワー・ブロック、ロケット・パンチ、サイズミック・スラムを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Domina,6,8,5,5,5,8,6,6,"[""frontline_charge_target""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""バリア・アレイ"", ""パノプティコン""]",,ドミナ相手は近距離のダイブ経路が主戦場。射程に入った瞬間にフォトン・プロジェクターを当て続け、危なくなる前にテレポーターで位置を変える。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはドミナが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。バリア・アレイ、パノプティコンを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
Hazard,7,5,8,7,6,5,4,7,"[""mobility_threat""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""スパイク・ガード""]","[""スパイク・ガード"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]",,ハザードが飛び込むダイブ経路にセントリー・タレットを置き、入ってきた瞬間だけフォトン・プロジェクターを当てる。追いかけるより、味方後衛へ仕掛ける経路を塞ぐ。,ヴァイオレント・リープ、味方後衛へ仕掛けた瞬間,フォトン・バリアはハザードの圧を受ける前に、敵の射線と味方の移動先を分けるために使う。スパイク・ガード、ジャギー・ウォール、ヴァイオレント・リープを確認し、ただ延命するだけで終わらせない。,,,,,,,,,,,,,
Mauga,6,8,5,5,5,8,7,6,"[""frontline_charge_target""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]",,マウガ相手は近距離のダイブ経路が主戦場。射程に入った瞬間にフォトン・プロジェクターを当て続け、危なくなる前にテレポーターで位置を変える。,射程に入った瞬間、または前線スキル使用後,フォトン・バリアはマウガが前へ押すタイミングで、敵後衛の射線と前線を分けるために使う。カーディアック・オーバードライブ、ケージ・ファイトを確認してから、味方が前に出られる向きへ置く。,,,,,,,,,,,,,
