target_id,enemy_id,wait_category,check_skills,punish_window,target_action,reset_action
Soldier76,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Winston,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Doomfist,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Hazard,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Wrecking Ball,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Zarya,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Junker Queen,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Domina,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Mauga,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Ramattra,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Roadhog,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Orisa,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Sigma,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Reinhardt,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Ashe,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Widowmaker,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Emre,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Cassidy,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Sojourn,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Soldier: 76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,Hanzo,移動・離脱の使用確認,体術 / 壁登り,体術 / 壁登りで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
