target_id,target_ja,enemy_id,enemy_ja,enemy_role,priority_class,priority_score,first_watch_rule,pressure_rule,do_not_chase_rule,swap_condition,reason
Soldier76,ソルジャー76,D.Va,D.Va,タンク,pressure_only,5.7,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,D.Vaは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Winston,ウィンストン,タンク,pressure_only,5.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ウィンストンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Doomfist,ドゥームフィスト,タンク,pressure_only,6.1,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ドゥームフィストは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Hazard,ハザード,タンク,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ハザードは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Wrecking Ball,レッキング・ボール,タンク,pressure_only,5.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,レッキング・ボールは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Zarya,ザリア,タンク,pressure_only,4.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ザリアは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Junker Queen,ジャンカー・クイーン,タンク,pressure_only,4.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ジャンカー・クイーンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Domina,ドミナ,タンク,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ドミナは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Mauga,マウガ,タンク,pressure_only,4.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,マウガは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Ramattra,ラマットラ,タンク,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ラマットラは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Roadhog,ロードホッグ,タンク,pressure_only,4.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ロードホッグは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Orisa,オリーサ,タンク,pressure_only,4.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,オリーサは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Sigma,シグマ,タンク,pressure_only,4.5,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,シグマは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Reinhardt,ラインハルト,タンク,pressure_only,4.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ラインハルトは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Ashe,アッシュ,ダメージ,pressure_only,6.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,アッシュは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Widowmaker,ウィドウメイカー,ダメージ,focus_first,6.8,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ウィドウメイカーは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,ソルジャー76,Emre,エムレ,ダメージ,pressure_only,6.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,エムレは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Cassidy,キャスディ,ダメージ,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,キャスディは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Sojourn,ソジョーン,ダメージ,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソジョーンは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,ダメージ,pressure_only,6.1,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソルジャー76は倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Hanzo,ハンゾー,ダメージ,focus_first,6.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ハンゾーは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,ソルジャー76,Freja,フレイヤ,ダメージ,pressure_only,6.3,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,フレイヤは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Anran,アンラン,ダメージ,punish_late,5.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,アンランは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Genji,ゲンジ,ダメージ,focus_first,7.8,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ゲンジは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,ソルジャー76,Shion,シオン,ダメージ,punish_late,7.4,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,シオンは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Sombra,ソンブラ,ダメージ,punish_late,6.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ソンブラは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Tracer,トレーサー,ダメージ,pressure_only,5.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,トレーサーは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
Soldier76,ソルジャー76,Venture,ベンチャー,ダメージ,punish_late,6.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ベンチャーは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Reaper,リーパー,ダメージ,punish_late,6.0,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,リーパーは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Vendetta,ヴェンデッタ,ダメージ,punish_late,5.9,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ヴェンデッタは先に追わず、移動・防御・救助を使った後にヘリックス・ロケットで確定できる体力まで待つ。
Soldier76,ソルジャー76,Echo,エコー,ダメージ,focus_first,7.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,エコーは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,ソルジャー76,Pharah,ファラ,ダメージ,focus_first,7.6,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,ファラは逃げにくいサポートと空中・高台の射線役に該当するため、人数差を作る最初の候補にする。
Soldier76,ソルジャー76,Symmetra,シンメトラ,ダメージ,pressure_only,6.2,逃げにくいサポートと空中・高台の射線役,タンクは削って回復を使わせる,高機動の敵は移動スキル後だけ追う,ヘリックス・ロケットで確定できる体力まで待つ,シンメトラは倒し切りより、タンクは削って回復を使わせる対象。深追いせず回復・防御を使わせる。
