hero_id,hero_ja,role,sub_role,torbjorn_comp_stats.threat_torbjorn,torbjorn_comp_stats.turret_value,torbjorn_comp_stats.overload_value,torbjorn_comp_stats.molten_core_value,torbjorn_comp_stats.rivet_primary_value,torbjorn_comp_stats.rivet_secondary_value,torbjorn_comp_stats.forge_hammer_repair_value,torbjorn_comp_stats.matchup_rating,torbjorn_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.molten_core_check,key_enemy_skills.turret_plan,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note
D.Va,D.Va,タンク,イニシエーター,9,10,9,9,4,8,5,5,9,"[""air_or_highground_pressure"", ""frontline_zone_value"", ""setup_or_utility"", ""turret_high_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""ブースター"", ""ディフェンス・マトリックス"", ""自爆""]","[""ブースター後"", ""ディフェンス・マトリックス後""]","[""ブースター"", ""ディフェンス・マトリックス"", ""自爆""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットは高台の側面か味方サポート側に置き、D.Vaがブースターで入るダイブ経路を早めに撃たせる。,ブースター後、ディフェンス・マトリックス後,モルテン・コアはD.Va単体ではなく、ブースター後の退路や味方サポートへ入る通路へ置く。,
Winston,ウィンストン,タンク,イニシエーター,8,10,8,8,3,8,5,6,9,"[""frontline_zone_value"", ""turret_high_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""ジャンプ・パック"", ""バリア・プロジェクター""]","[""ジャンプ・パック後"", ""バリア・プロジェクター後""]","[""ジャンプ・パック"", ""バリア・プロジェクター""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットはウィンストンが飛び込むダイブ経路から少し離し、バリア内に巻き込まれない位置に置く。,ジャンプ・パック後、バリア・プロジェクター後,モルテン・コアは着地地点と退路を分けるように置き、味方後衛への再突入を遅らせる。,
Doomfist,ドゥームフィスト,タンク,イニシエーター,9,10,9,6,4,8,4,5,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""パワー・ブロック"", ""ロケット・パンチ""]","[""ロケット・パンチ後"", ""パワー・ブロック後""]","[""パワー・ブロック"", ""ロケット・パンチ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットはドゥームフィスト本体ではなく、味方後衛へ入る通路を撃てる位置に置く。,ロケット・パンチ後、パワー・ブロック後,モルテン・コアはドゥームフィストを追うためではなく、着地後に戻る通路を塞ぐために使う。,
Hazard,ハザード,タンク,ストールワート,8,9,9,7,4,8,5,6,8,"[""turret_high_value"", ""overload_duel_value""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ後"", ""ジャギー・ウォール後""]","[""スパイク・ガード"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ハザードにはタレットで横移動を制限し、リベット・ガンは遮蔽から1発撃って戻る。接近されたらオーバーロードで耐える。,ヴァイオレント・リープ後、ジャギー・ウォール後,モルテン・コアはハザードを倒し切る目的だけでなく、通路と退路を制限して味方が前に出る時間を作る。,
Wrecking Ball,レッキング・ボール,タンク,イニシエーター,8,10,9,6,3,7,5,6,8,"[""flank_route_watch"", ""turret_high_value"", ""overload_duel_value""]","[""グラップリング・クロー"", ""アダプティブ・シールド""]","[""パイルドライバー後"", ""アダプティブ・シールド後""]","[""グラップリング・クロー"", ""アダプティブ・シールド""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",タレットは後衛側の通路かヘルスパック付近の移動ルートを撃てる位置に置く。,パイルドライバー後、アダプティブ・シールド後,モルテン・コアは地雷原と重ねるのではなく、ボールが戻る通路や味方が使う安全地帯を確保するために使う。,
Zarya,ザリア,タンク,ブルーザー,8,5,8,10,6,9,5,5,8,"[""frontline_zone_value"", ""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア後"", ""バリア・ショット後""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ザリアが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,パーティクル・バリア後、バリア・ショット後,モルテン・コアはザリアの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
Junker Queen,ジャンカー・クイーン,タンク,ストールワート,8,7,8,10,5,9,5,5,8,"[""frontline_zone_value"", ""setup_or_utility"", ""molten_core_high_value"", ""overload_duel_value""]","[""ランペイジ""]","[""ギザギザブレード後"", ""カーネイジ後""]","[""ランペイジ""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ジャンカー・クイーンが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,ギザギザブレード後、カーネイジ後,モルテン・コアはジャンカー・クイーンの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
Domina,ドミナ,タンク,ストールワート,7,6,8,10,6,9,5,6,8,"[""frontline_zone_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""バリア・アレイ"", ""パノプティコン""]","[""クリスタル・チャージ後"", ""ソニック・リパルサー後""]","[""バリア・アレイ"", ""パノプティコン""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ドミナが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,クリスタル・チャージ後、ソニック・リパルサー後,モルテン・コアはドミナの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
Mauga,マウガ,タンク,ブルーザー,8,5,8,10,7,10,5,5,8,"[""frontline_zone_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""オーバーラン後"", ""カーディアック・オーバードライブ後""]","[""カーディアック・オーバードライブ"", ""ケージ・ファイト""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",マウガが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,オーバーラン後、カーディアック・オーバードライブ後,モルテン・コアはマウガの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
Ramattra,ラマットラ,タンク,ストールワート,7,6,8,10,6,9,5,6,8,"[""frontline_zone_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""ネメシス・フォーム後"", ""貪欲な渦後""]","[""ヴォイド・バリア"", ""ブロック"", ""アナイアレーション""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ラマットラが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,ネメシス・フォーム後、貪欲な渦後,モルテン・コアはラマットラの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
Roadhog,ロードホッグ,タンク,ブルーザー,7,5,8,10,6,9,5,6,7,"[""frontline_zone_value"", ""molten_core_high_value"", ""overload_duel_value""]","[""チェイン・フック""]","[""チェイン・フック後"", ""ピッグペン後""]","[""チェイン・フック""]","[""側面ルート監視"", ""接近の早期確認"", ""本体と離して設置""]",ロードホッグが正面のスペースを占拠したら、近距離のリベット・ガンとオーバーロードで押し返す。モルテン・コアは退路と通路を塞ぐ。,チェイン・フック後、ピッグペン後,モルテン・コアはロードホッグの足元だけに固めず、後ろの回復線と退路を分けるように置く。,
