hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
D.Va,2.9,"[""dive_threat"", ""aerial_pressure"", ""heavy_frontline""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""自爆"", ""ディフェンス・マトリックス""]",D.Va相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ディフェンス・マトリックス・ブースターが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ブースターの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Winston,6.2,"[""dive_threat"", ""heavy_frontline""]","[""テスラ・キャノン"", ""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""テスラ・キャノン"", ""バリア・プロジェクター""]",ウィンストン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。テスラ・キャノン・バリア・プロジェクターが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ジャンプ・パックの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Doomfist,6.1,"[""dive_threat"", ""heavy_frontline""]","[""ロケット・パンチ"", ""パワー・ブロック"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""パワー・ブロック""]",ドゥームフィスト相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ロケット・パンチ・パワー・ブロックが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、サイズミック・スラム・ロケット・パンチの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Hazard,6.2,"[""dive_threat"", ""heavy_frontline""]","[""ジャギー・ウォール"", ""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ジャギー・ウォール"", ""スパイク・ガード""]",ハザード相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ジャギー・ウォール・スパイク・ガードが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ヴァイオレント・リープの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Wrecking Ball,5.5,"[""dive_threat"", ""heavy_frontline"", ""flank_threat""]","[""パイルドライバー"", ""アダプティブ・シールド"", ""グラップリング・クロー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""パイルドライバー"", ""アダプティブ・シールド""]",レッキング・ボール相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。パイルドライバー・アダプティブ・シールドが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、グラップリング・クロールの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Zarya,7.0,"[""heavy_frontline"", ""save_sustain""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""バリア・ショット""]","[""グラビトン・サージ"", ""バリア・ショット"", ""パーティクル・バリア""]",ザリア相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。グラビトン・サージ・パーティクル・バリアが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、パーティクル・バリア・ショットの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Junker Queen,7.0,"[""heavy_frontline"", ""save_sustain""]","[""ランペイジ"", ""コマンディング・シャウト"", ""ギザギザブレード""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]","[""ランペイジ"", ""コマンディング・シャウト""]",ジャンカー・クイーン相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ランペイジ・コマンディング・シャウトが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ギザギザブレード・カーネイジの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Domina,7.2,"[""heavy_frontline"", ""save_sustain""]","[""パノプティコン"", ""バリア・アレイ"", ""クリスタル・チャージ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""パノプティコン"", ""バリア・アレイ""]",ドミナ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。パノプティコン・バリア・アレイが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、クリスタル・チャージ・ソニック・リパルサーの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Mauga,6.4,"[""heavy_frontline"", ""save_sustain""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]",マウガ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ケージ・ファイト・カーディアック・オーバードライブが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、オーバーラン・カーディアック・オーバードライブの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Ramattra,7.3,"[""heavy_frontline"", ""save_sustain""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]",ラマットラ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。アナイアレーション・ヴォイド・バリアが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、ネメシス・フォーム・貪欲な渦の後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Roadhog,6.9,"[""heavy_frontline"", ""save_sustain""]","[""チェイン・フック"", ""テイク・ア・ブリーザー"", ""チェイン・フック""]","[""チェイン・フック"", ""ピッグペン"", ""テイク・ア・ブリーザー""]","[""チェイン・フック"", ""テイク・ア・ブリーザー""]",ロードホッグ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。チェイン・フック・テイク・ア・ブリーザーが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、チェイン・フック・ピッグペンの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Orisa,6.0,"[""heavy_frontline"", ""save_sustain""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]","[""エネルギー・ジャベリン"", ""フォーティファイ"", ""ジャベリン・スピン""]",オリーサ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。エネルギー・ジャベリン・フォーティファイが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、エネルギー・ジャベリン・フォーティファイの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Sigma,4.5,"[""long_range_threat"", ""heavy_frontline"", ""save_sustain""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]","[""アクリーション"", ""エクスペリメンタル・バリア"", ""キネティック・グラスプ""]",シグマ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。アクリーション・エクスペリメンタル・バリアが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、アクリーション・エクスペリメンタル・バリアの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Reinhardt,8.0,"[""heavy_frontline"", ""save_sustain""]","[""アースシャター"", ""バリア・フィールド"", ""チャージ""]","[""チャージ"", ""バリア・フィールド""]","[""アースシャター"", ""バリア・フィールド""]",ラインハルト相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。アースシャター・バリア・フィールドが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、チャージ・バリア・フィールドの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Ashe,2.7,"[""long_range_threat""]","[""B.O.B"", ""ダイナマイト""]","[""コーチ・ガン"", ""ダイナマイト""]","[""B.O.B""]",アッシュ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。B.O.B・ダイナマイトが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、コーチ・ガン・ダイナマイトの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Widowmaker,2.3,"[""long_range_threat""]","[""ウィドウズ・キス"", ""ヴェノム・マイン""]","[""グラップリング・フック"", ""ヴェノム・マイン""]","[""ウィドウズ・キス""]",ウィドウメイカー相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。ウィドウズ・キス・ヴェノム・マインが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、グラップリング・フック・ヴェノム・マインの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Emre,3.6,"[""long_range_threat""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル"", ""サイバー・フラグ""]","[""オルタード・バイタル"", ""サイバー・フラグ""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]",エムレ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。シンセティック・バースト・ライフル・オーバーライド・プロトコルが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、オルタード・バイタル・サイバー・フラグの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
Cassidy,3.4,"[""long_range_threat""]","[""デッド・アイ"", ""フラッシュバン""]","[""コンバット・ロール"", ""フラッシュバン""]","[""デッド・アイ""]",キャスディ相手は高く浮き続けず、屋根・壁・建物の縁から短くロケットを撃つ。デッド・アイ・フラッシュバンが見える射線では、低空ピークと遮蔽復帰を優先する。,優先度は、コンバット・ロール・フラッシュバンの後か、地上支援から離れた瞬間に上げる。直撃狙いだけでなく足元の爆風を使う。
