hero_id,matchup_rating,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.ultimate_check,diagnosis_snippets.positioning,diagnosis_snippets.target_priority
D.Va,5.7,"[""dive_threat"", ""aerial_pressure"", ""heavy_frontline""]","[""ディフェンス・マトリックス"", ""ブースター""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""自爆"", ""ディフェンス・マトリックス""]",D.Vaには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。ディフェンス・マトリックス・ブースターが見えたら長く構えない。,優先度は、ブースターの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Winston,4.1,"[""dive_threat"", ""heavy_frontline""]","[""テスラ・キャノン"", ""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""テスラ・キャノン"", ""バリア・プロジェクター""]",ウィンストンには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。テスラ・キャノン・バリア・プロジェクターが見えたら長く構えない。,優先度は、ジャンプ・パックの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Doomfist,4.0,"[""dive_threat"", ""heavy_frontline""]","[""ロケット・パンチ"", ""パワー・ブロック"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""パワー・ブロック""]",ドゥームフィストには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。ロケット・パンチ・パワー・ブロックが見えたら長く構えない。,優先度は、サイズミック・スラム・ロケット・パンチの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Hazard,5.3,"[""dive_threat"", ""heavy_frontline""]","[""ジャギー・ウォール"", ""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""ジャギー・ウォール"", ""スパイク・ガード""]",ハザードには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。ジャギー・ウォール・スパイク・ガードが見えたら長く構えない。,優先度は、ヴァイオレント・リープの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Wrecking Ball,4.0,"[""dive_threat"", ""heavy_frontline"", ""flank_threat""]","[""パイルドライバー"", ""アダプティブ・シールド"", ""グラップリング・クロー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""パイルドライバー"", ""アダプティブ・シールド""]",レッキング・ボールには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。パイルドライバー・アダプティブ・シールドが見えたら長く構えない。,優先度は、グラップリング・クロールの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Zarya,5.2,"[""heavy_frontline"", ""save_sustain""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]","[""パーティクル・バリア"", ""バリア・ショット"", ""バリア・ショット""]","[""グラビトン・サージ"", ""バリア・ショット"", ""パーティクル・バリア""]",ザリアには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。グラビトン・サージ・パーティクル・バリアが見えたら長く構えない。,優先度は、パーティクル・バリア・ショットの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Junker Queen,5.3,"[""heavy_frontline"", ""save_sustain""]","[""ランペイジ"", ""コマンディング・シャウト"", ""ギザギザブレード""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]","[""ランペイジ"", ""コマンディング・シャウト""]",ジャンカー・クイーンには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。ランペイジ・コマンディング・シャウトが見えたら長く構えない。,優先度は、ギザギザブレード・カーネイジの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Domina,5.4,"[""heavy_frontline"", ""save_sustain""]","[""パノプティコン"", ""バリア・アレイ"", ""クリスタル・チャージ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]","[""パノプティコン"", ""バリア・アレイ""]",ドミナには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。パノプティコン・バリア・アレイが見えたら長く構えない。,優先度は、クリスタル・チャージ・ソニック・リパルサーの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Mauga,5.5,"[""heavy_frontline"", ""save_sustain""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""ケージ・ファイト"", ""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]",マウガには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。ケージ・ファイト・カーディアック・オーバードライブが見えたら長く構えない。,優先度は、オーバーラン・カーディアック・オーバードライブの後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
Ramattra,6.2,"[""heavy_frontline"", ""save_sustain""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]","[""アナイアレーション"", ""ヴォイド・バリア"", ""ブロック""]",ラマットラには1〜2バーストで遮蔽へ戻り、サイバー・フラグで足元・遮蔽横・退路を崩す。アナイアレーション・ヴォイド・バリアが見えたら長く構えない。,優先度は、ネメシス・フォーム・貪欲な渦の後に上げる。遮蔽から出た瞬間へシンセティック・バースト・ライフルを合わせる。
